W Type,Morans I,p-value,z-score,Significant
Rook,0.4255,0.001,9.0646,yes
Queen,0.4252,0.001,8.909,yes
KNN (k=4),0.431,0.001,8.7305,yes
Distance Band (5000),0.2304,0.001,14.9745,yes
